Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK634	p3-SID839	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Staphylococcus
LK635	p3-SID862	KHID42	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK636	p3-SID854	KHID47	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK637	p3-SID853	KHID79	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK638	p3-SID843	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK639	p3-SID826	KHID76	Healthy Skin	Occiput	Y	Y	Y	Y	Dietzia
LK657	p3-SID738	KHID41	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK658	p3-SID706	KHID29	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK659	p3-SID707	KHID29	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK660	p3-SID708	KHID29	Healthy Skin	Back	Y	Y	N	N	Bacillus
LK661	p3-SID726	KHID30	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK662	p3-SID734	KHID40	Healthy Skin	Umbilicus	Y	Y	N	N	Lysinibacillus
LK663	p3-SID735	KHID40	Healthy Skin	Umbilicus	N	N	N	N	
LK664	p3-SID736	KHID40	Healthy Skin	Umbilicus	Y	Y	N	N	Lysinibacillus
LK665	p3-SID737	KHID41	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK666	p3-SID807	KHID74	Healthy Skin	Alar crease	Y	Y	Y	N	Lysinibacillus
LK667	p3-SID808	KHID74	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK668	p3-SID809	KHID74	Healthy Skin	Alar crease	Y	Y	Y	N	Lysinibacillus
LK669	p3-SID773	KHID77	Healthy Skin	Back	Y	Y	Y	N	Lysinibacillus
LK670	p3-SID703	KHID43	Healthy Skin	Nares	Y	Y	Y	N	Klebsiella
LK671	p3-SID704	KHID43	Healthy Skin	Nares	N	N	Y	N	Lysinibacillus
LK672	p3-SID845	KHID79	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Corynebacterium
LK673	p3-SID705	KHID43	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK674	p3-SID769	KHID78	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK675	p3-SID805	KHID74	Healthy Skin	Alar crease	Y	Y	N	N	Lysinibacillus
LK676	p3-SID891	KHID72	Healthy Skin	Umbilicus	N	N	N	N	Cellulosimicrobium
LK677	p3-SID803	KHID74	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK678	p3-SID802	KHID74	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK679	p3-SID812	KHID77	Healthy Skin	Back	Y	Y	Y	N	Janibacter
LK680	p3-SID693	KHID29	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK681	p3-SID755	KHID31	Healthy Skin	Antecubital fossa	Y	Y	N	N	Bacillus
LK682	p3-SID692	KHID71	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK683	p3-SID678	KHID61	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK684	p3-SID590	KHID51	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK685	p3-SID591	KHID51	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK686	p3-SID592	KHID51	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK687	p3-SID798	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Corynebacterium
LK688	p3-SID874	KHID56	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK689	p3-SID835	KHID76	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK690	p3-SID694	KHID29	Healthy Skin	Back	Y	Y	N	N	Staphylococcus
LK691	p3-SID756	KHID31	Healthy Skin	Antecubital fossa	Y	Y	N	N	Staphylococcus
LK692	p3-SID757	KHID31	Healthy Skin	Antecubital fossa	Y	Y	N	N	Bacillus
LK693	p3-SID758	KHID42	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK694	p3-SID625	KHID62	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK695	p3-SID624	KHID62	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK696	p3-SID623	KHID62	Healthy Skin	Volar forearm	Y	Y	N	N	Bacillus
LK697	p3-SID627	KHID70	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK698	p3-SID882	KHID45	Healthy Skin	Back	Y	Y	Y	Y	Kocuria
LK699	p3-SID753	KHID32	Healthy Skin	Umbilicus	N	N	N	N	Micrococcus
LK700	p3-SID830	KHID76	Healthy Skin	Occiput	N	N	Y	N	Corynebacterium
LK701	p3-SID849	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK702	p3-SID852	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	
LK703	p3-SID851	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	
LK704	p3-SID761	KHID35	Healthy Skin	Nares	Y	Y	Y	N	Citrobacter
LK705	p3-SID783	KHID78	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK706	p3-SID782	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Bacillus
LK707	p3-SID781	KHID77	Healthy Skin	Back	N	N	N	N	
LK708	p3-SID806	KHID74	Healthy Skin	Alar crease	N	N	N	N	Staphylococcus
LK709	p3-SID794	KHID74	Healthy Skin	Alar crease	N	N	N	N	Lysinibacillus
LK710	p3-SID828	KHID76	Healthy Skin	Occiput	N	N	N	N	Micrococcus
LK711	p3-SID634	KHID52	Healthy Skin	Occiput	N	N	N	N	Staphylococcus
LK712	p3-SID844	KHID79	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Niallia
LK713	p3-SID785	KHID78	Healthy Skin	Volar forearm	N	N	N	N	Bacillus
LK714	p3-SID784	KHID78	Healthy Skin	Volar forearm	N	N	N	N	
LK715	p3-SID788	KHID74	Healthy Skin	Alar crease	N	N	N	N	
LK716	p3-SID847	KHID79	Healthy Skin	Antecubital fossa	N	N	Y	Y	Lysinibacillus
LK717	p3-SID898	KHID65	Healthy Skin	Toe web space	N	N	N	N	Staphylococcus
LK718	p3-SID587	KHID55	Healthy Skin	Antecubital fossa	N	N	N	N	Bacillus
LK719	p3-SID588	KHID55	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK720	p3-SID586	KHID55	Healthy Skin	Antecubital fossa	N	N	N	N	
LK721	p3-SID814	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	Staphylococcus
LK722	p3-SID787	KHID74	Healthy Skin	Alar crease	Y	Y	N	N	Bacillus
LK723	p3-SID814	KHID79	Healthy Skin	Antecubital fossa	N	N	N	N	Staphylococcus
LK724	p3-SID834	KHID76	Healthy Skin	Occiput	Y	Y	N	N	Lysinibacillus
LK725	p3-SID804	KHID74	Healthy Skin	Alar crease	N	N	N	N	Staphylococcus
LK729	p3-SID1016	KHID115	Healthy Skin	Back	N	N	Y	Y	Staphylococcus
LK730	p3-SID1022	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK731	p3-SID1024	KHID115	Healthy Skin	Back	N	N	N	N	
LK732	p3-SID1028	KHID115	Healthy Skin	Back	N	N	N	N	
LK733	p3-SID1100	KHID113	Healthy Skin	Nares	N	N	N	N	
LK734	p3-SID1101	KHID113	Healthy Skin	Nares	N	N	N	N	
LK735	p3-SID1102	KHID113	Healthy Skin	Nares	N	N	N	N	
LK736	p3-SID1103	KHID113	Healthy Skin	Nares	N	N	N	N	
LK737	p3-SID1104	KHID113	Healthy Skin	Nares	N	N	N	N	
LK738	p3-SID1107	KHID113	Healthy Skin	Nares	N	N	N	N	
LK739	p3-SID1108	KHID113	Healthy Skin	Nares	N	N	N	N	
LK740	p3-SID998	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK741	p3-SID1017	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK742	p3-SID1020	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK743	p3-SID1001	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK744	p3-SID1004	KHID116	Healthy Skin	Volar forearm	N	N	N	N	
LK745	p3-SID1167	KHID86	Healthy Skin	Antecubital fossa	N	N	N	N	
LK746	p3-SID1011	KHID115	Healthy Skin	Back	N	N	N	N	
LK747	p3-SID1050	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK748	p3-SID1052	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK749	p3-SID1053	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK750	p3-SID1054	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK751	p3-SID1049	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK752	p3-SID1030	KHID118	Healthy Skin	Umbilicus	N	N	N	N	
