Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK936	p3-SID1243	KHID112	Healthy Skin	Alar crease	Y	Y	Y	Y	Corynebacterium
LK937	p3-SID1199	KHID111	Healthy Skin	Toe web space	N	N	N	N	
LK938	p3-SID1200	KHID111	Healthy Skin	Toe web space	N	N	Y	Y	Brachybacterium
LK939	p3-SID890	KHID72	Healthy Skin	Umbilicus	N	N	N	N	Micrococcus
LK940	p3-SID1256	KHID103	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK941	p3-SID797	KHID74	Healthy Skin	Alar crease	Y	Y	Y	Y	Micrococcus
LK942	p3-SID1246	KHID112	Healthy Skin	Alar crease	Y	Y	Y	Y	Corynebacterium
LK943	p3-SID1305	KHID108	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK944	p3-SID1143	KHID92	Healthy Skin	Back	N	N	N	N	
LK945	p3-SID1303	KHID108	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micromonospora
LK946	p3-SID1145	KHID92	Healthy Skin	Back	N	N	Y	Y	Corynebacterium
LK947	p3-SID1255	KHID103	Healthy Skin	Toe web space	N	N	N	N	
LK948	p3-SID1129	KHID105	Healthy Skin	Nares	N	N	Y	Y	Corynebacterium
LK949	p3-SID1051	KHID119	Healthy Skin	Toe web space	Y	Y	Y	Y	Dietzia
LK950	p3-SID1015	KHID115	Healthy Skin	Back	Y	Y	Y	Y	Corynebacterium
LK951	p3-SID1062	KHID119	Healthy Skin	Toe web space	Y	Y	Y	Y	Dietzia
LK952	p3-SID1056	KHID119	Healthy Skin	Toe web space	N	N	Y	Y	Corynebacterium
LK953	p3-SID1327	KHID81	Healthy Skin	Alar crease	N	N	Y	Y	Cutibacterium
LK954	p3-SID870	KHID70	Healthy Skin	Volar forearm	N	N	N	N	
LK955	p3-SID1244	KHID112	Healthy Skin	Alar crease	Y	Y	Y	Y	Corynebacterium
LK956	p3-SID1224	KHID117	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Corynebacterium
LK957	p3-SID1904	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK958	p3-SID1411	KHID125	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK959	p3-SID1895	KHID147	Healthy Skin	Back	N	N	N	N	
LK960	p3-SID1433	KHID139	Healthy Skin	Back	Y	Y	Y	Y	Kocuria
LK961	p3-SID1413	KHID127	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK962	p3-SID1897	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK963	p3-SID1912	KHID148	Healthy Skin	Volar forearm	N	N	N	N	
LK964	p3-SID1901	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK965	p3-SID1434	KHID140	Healthy Skin	Volar forearm	N	N	N	N	Staphylococcus
LK966	p3-SID1913	KHID148	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK967	p3-SID1357	KHID144	Healthy Skin	Alar crease	N	N	N	N	Micrococcus
LK968	p3-SID1406	KHID125	Healthy Skin	Antecubital fossa	N	N	N	N	
LK969	p3-SID1429	KHID135	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK970	p3-SID1377a	KHID144	Healthy Skin	Alar crease	N	N	Y	N	Dietzia
LK971	p3-SID1893	KHID132	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK972	p3-SID1837	KHID132	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK973	p3-SID1855	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK974	p3-SID1905	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK975	p3-SID1379	KHID144	Healthy Skin	Alar crease	N	N	Y	Y	Dietzia
LK976	p3-SID1870	KHID130	Healthy Skin	Occiput	N	N	N	N	Bacillus
LK978	p3-SID1381	KHID143	Healthy Skin	Toe web space	Y	Y	Y	N	Brevibacterium
LK979	p3-SID1872	KHID131	Healthy Skin	Back	N	N	N	N	Micrococcus
LK980	p3-SID1852	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK981	p3-SID1894	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK982	p3-SID1352	KHID144	Healthy Skin	Alar crease	N	N	N	N	Micrococcus
LK983	p3-SID1873	KHID131	Healthy Skin	Back	N	N	N	N	Micrococcus
LK984	p3-SID1378	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Dietzia
LK985	p3-SID1851	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK986	p3-SID1354	KHID144	Healthy Skin	Alar crease	N	N	N	N	Micrococcus
LK987	p3-SID1907	KHID148	Healthy Skin	Volar forearm	N	N	N	N	
LK988	p3-SID1908	KHID148	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK989	p3-SID1856	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK990	p3-SID1410	KHID125	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK991	p3-SID1839	KHID132	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK992	p3-SID1854	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	
LK993	p3-SID1871	KHID131	Healthy Skin	Back	N	N	N	N	Micrococcus
LK994	p3-SID1376	KHID144	Healthy Skin	Alar crease	N	N	N	N	Micrococcus
LK995	p3-SID1838	KHID132	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK996	p3-SID1851	KHID133	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK997	p3-SID1402	KHID125	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK998	p3-SID1570	KHID122	Healthy Skin	Occiput	Y	Y	N	N	Micrococcus
LK999	p3-SID1425	KHID131	Healthy Skin	Back	N	N	N	N	Staphylococcus
