Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-48_S52	S007	Moist_Um	Staphylococcus	422364
LKMB002-1-48_S52	S007	Moist_Um	Other	3765739
LKMB002-1-55_S160	S006	Rarely_Moist_Af	Cutibacterium	963605
LKMB002-1-55_S160	S006	Rarely_Moist_Af	Corynebacterium	64848
LKMB002-1-55_S160	S006	Rarely_Moist_Af	Micrococcus	136241
LKMB002-1-55_S160	S006	Rarely_Moist_Af	Staphylococcus	113137
LKMB002-1-55_S160	S006	Rarely_Moist_Af	Other	1263978
LKMB002-1-32_S36	S004	Moist_Um	Cutibacterium	83671
LKMB002-1-32_S36	S004	Moist_Um	Corynebacterium	1859036
LKMB002-1-32_S36	S004	Moist_Um	Micrococcus	1327
LKMB002-1-32_S36	S004	Moist_Um	Staphylococcus	151069
LKMB002-1-32_S36	S004	Moist_Um	Other	10224242
LKMB002-1-10_S14	S002	Moist_Na	Cutibacterium	192560
LKMB002-1-10_S14	S002	Moist_Na	Corynebacterium	31810
LKMB002-1-10_S14	S002	Moist_Na	Micrococcus	2228
LKMB002-1-10_S14	S002	Moist_Na	Staphylococcus	15685
LKMB002-1-10_S14	S002	Moist_Na	Other	157877
LKMB002-1-07_S11	S001	Moist_Um	Cutibacterium	743032
LKMB002-1-07_S11	S001	Moist_Um	Corynebacterium	9829606
LKMB002-1-07_S11	S001	Moist_Um	Micrococcus	19433
LKMB002-1-07_S11	S001	Moist_Um	Staphylococcus	9231892
LKMB002-1-07_S11	S001	Moist_Um	Other	4125866
LKMB002-1-23_S27	S003	Moist_Um	Cutibacterium	184884
LKMB002-1-23_S27	S003	Moist_Um	Corynebacterium	4560284
LKMB002-1-23_S27	S003	Moist_Um	Micrococcus	24657
LKMB002-1-23_S27	S003	Moist_Um	Staphylococcus	12553
LKMB002-1-23_S27	S003	Moist_Um	Other	2150572
LKMB002-1-44_S48	S007	Sebaceous_Oc	Cutibacterium	2772793
LKMB002-1-44_S48	S007	Sebaceous_Oc	Corynebacterium	69833
LKMB002-1-44_S48	S007	Sebaceous_Oc	Micrococcus	2651
LKMB002-1-44_S48	S007	Sebaceous_Oc	Staphylococcus	153513
LKMB002-1-44_S48	S007	Sebaceous_Oc	Other	2095840
LKMB002-2-031_S122	S016	Sebaceous_Ba	Cutibacterium	13079896
LKMB002-2-031_S122	S016	Sebaceous_Ba	Corynebacterium	113933
LKMB002-2-031_S122	S016	Sebaceous_Ba	Micrococcus	653192
LKMB002-2-031_S122	S016	Sebaceous_Ba	Staphylococcus	54788
LKMB002-2-031_S122	S016	Sebaceous_Ba	Other	810993
LKMB002-1-26_S30	S004	Sebaceous_Al	Cutibacterium	7850316
LKMB002-1-26_S30	S004	Sebaceous_Al	Corynebacterium	20057
LKMB002-1-26_S30	S004	Sebaceous_Al	Micrococcus	1857
LKMB002-1-26_S30	S004	Sebaceous_Al	Staphylococcus	112475
LKMB002-1-26_S30	S004	Sebaceous_Al	Other	861070
LKMB002-1-34_S38	S005	Sebaceous_Al	Cutibacterium	8002243
LKMB002-1-34_S38	S005	Sebaceous_Al	Corynebacterium	54390
LKMB002-1-34_S38	S005	Sebaceous_Al	Micrococcus	25781
LKMB002-1-34_S38	S005	Sebaceous_Al	Staphylococcus	115520
LKMB002-1-34_S38	S005	Sebaceous_Al	Other	1495125
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Cutibacterium	875329
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Corynebacterium	410602
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Micrococcus	11957
