metagenome	body_site	body_site_type	database	value
LKMN002-3-30-S233	Tw	Moist	2. SBCC	70.77
LKMN002-3-30-S233	Tw	Moist	4. SBCC + C. acnes ATCC 6919	70.83
LKMN002-3-30-S233	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	72.40
LKMN002-3-30-S233	Tw	Moist	6. EPIC + SMGC	78.05
LKMN002-3-30-S233	Tw	Moist	1. EPIC	51.95
LKMN002-3-30-S233	Tw	Moist	3. EPIC + C. acnes ATCC 6919	52.01
LKMB002-2-096-S203	Oc	Sebaceous	2. SBCC	21.81
LKMB002-2-096-S203	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	52.37
LKMB002-2-096-S203	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	54.77
LKMB002-2-096-S203	Oc	Sebaceous	6. EPIC + SMGC	86.45
LKMB002-2-096-S203	Oc	Sebaceous	1. EPIC	23.62
LKMB002-2-096-S203	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	53.87
LKMB002-2-024-S115	Vf	Rarely Moist	2. SBCC	18.65
LKMB002-2-024-S115	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	45.12
LKMB002-2-024-S115	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	51.77
LKMB002-2-024-S115	Vf	Rarely Moist	6. EPIC + SMGC	68.07
LKMB002-2-024-S115	Vf	Rarely Moist	1. EPIC	24.38
LKMB002-2-024-S115	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	50.64
LKMB002-1-35-S39	Na	Moist	2. SBCC	31.46
LKMB002-1-35-S39	Na	Moist	4. SBCC + C. acnes ATCC 6919	50.39
LKMB002-1-35-S39	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	58.36
LKMB002-1-35-S39	Na	Moist	6. EPIC + SMGC	74.36
LKMB002-1-35-S39	Na	Moist	1. EPIC	38.02
LKMB002-1-35-S39	Na	Moist	3. EPIC + C. acnes ATCC 6919	56.79
LKMB002-1-81-S80	Um	Moist	2. SBCC	57.43
LKMB002-1-81-S80	Um	Moist	4. SBCC + C. acnes ATCC 6919	57.52
LKMB002-1-81-S80	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	75.73
LKMB002-1-81-S80	Um	Moist	6. EPIC + SMGC	89.50
LKMB002-1-81-S80	Um	Moist	1. EPIC	68.81
LKMB002-1-81-S80	Um	Moist	3. EPIC + C. acnes ATCC 6919	68.90
LKMB002-2-009-S100	Af	Rarely Moist	2. SBCC	26.63
LKMB002-2-009-S100	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	40.44
LKMB002-2-009-S100	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	57.78
LKMB002-2-009-S100	Af	Rarely Moist	6. EPIC + SMGC	68.96
LKMB002-2-009-S100	Af	Rarely Moist	1. EPIC	41.85
LKMB002-2-009-S100	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	55.57
LKMB002-2-013-S104	Na	Moist	2. SBCC	18.45
LKMB002-2-013-S104	Na	Moist	4. SBCC + C. acnes ATCC 6919	35.94
LKMB002-2-013-S104	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	38.73
LKMB002-2-013-S104	Na	Moist	6. EPIC + SMGC	57.09
LKMB002-2-013-S104	Na	Moist	1. EPIC	20.29
LKMB002-2-013-S104	Na	Moist	3. EPIC + C. acnes ATCC 6919	37.65
LKMB002-2-020-S111	Al	Sebaceous	2. SBCC	24.60
LKMB002-2-020-S111	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	85.02
LKMB002-2-020-S111	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	86.25
LKMB002-2-020-S111	Al	Sebaceous	6. EPIC + SMGC	90.43
LKMB002-2-020-S111	Al	Sebaceous	1. EPIC	26.00
LKMB002-2-020-S111	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	85.98
LKMN002-3-03-S206	Af	Rarely Moist	2. SBCC	13.86
LKMN002-3-03-S206	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	25.02
LKMN002-3-03-S206	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	28.74
LKMN002-3-03-S206	Af	Rarely Moist	6. EPIC + SMGC	63.09
LKMN002-3-03-S206	Af	Rarely Moist	1. EPIC	14.56
LKMN002-3-03-S206	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	25.64
LKMB002-2-006-S97	Oc	Sebaceous	2. SBCC	33.33
LKMB002-2-006-S97	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	71.30
LKMB002-2-006-S97	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	74.33
LKMB002-2-006-S97	Oc	Sebaceous	6. EPIC + SMGC	82.60
LKMB002-2-006-S97	Oc	Sebaceous	1. EPIC	36.19
LKMB002-2-006-S97	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	73.89
LKMN002-3-45-S244	Af	Rarely Moist	2. SBCC	13.43
LKMN002-3-45-S244	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	26.40
LKMN002-3-45-S244	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	31.47
LKMN002-3-45-S244	Af	Rarely Moist	6. EPIC + SMGC	66.52
LKMN002-3-45-S244	Af	Rarely Moist	1. EPIC	15.95
LKMN002-3-45-S244	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	28.83
LKMN002-3-52-S251	Ba	Sebaceous	2. SBCC	32.37
LKMN002-3-52-S251	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	35.16
LKMN002-3-52-S251	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	51.30
LKMN002-3-52-S251	Ba	Sebaceous	6. EPIC + SMGC	63.93
LKMN002-3-52-S251	Ba	Sebaceous	1. EPIC	43.85
LKMN002-3-52-S251	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	46.61
LKMB002-1-85-S84	Oc	Sebaceous	2. SBCC	30.88
LKMB002-1-85-S84	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	82.11
LKMB002-1-85-S84	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	83.26
LKMB002-1-85-S84	Oc	Sebaceous	6. EPIC + SMGC	88.02
LKMB002-1-85-S84	Oc	Sebaceous	1. EPIC	32.02
LKMB002-1-85-S84	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	82.87
LKMN002-3-13-S216	Tw	Moist	2. SBCC	62.70
LKMN002-3-13-S216	Tw	Moist	4. SBCC + C. acnes ATCC 6919	62.89
LKMN002-3-13-S216	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	82.01
LKMN002-3-13-S216	Tw	Moist	6. EPIC + SMGC	95.84
LKMN002-3-13-S216	Tw	Moist	1. EPIC	77.54
LKMN002-3-13-S216	Tw	Moist	3. EPIC + C. acnes ATCC 6919	77.73
LKMN002-3-34-S237	Ba	Sebaceous	2. SBCC	14.75
LKMN002-3-34-S237	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	42.29
LKMN002-3-34-S237	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	45.98
LKMN002-3-34-S237	Ba	Sebaceous	6. EPIC + SMGC	54.40
LKMN002-3-34-S237	Ba	Sebaceous	1. EPIC	17.51
LKMN002-3-34-S237	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	44.85
LKMB002-2-066-S173	Um	Moist	2. SBCC	23.53
LKMB002-2-066-S173	Um	Moist	4. SBCC + C. acnes ATCC 6919	35.68
LKMB002-2-066-S173	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	47.37
LKMB002-2-066-S173	Um	Moist	6. EPIC + SMGC	67.23
LKMB002-2-066-S173	Um	Moist	1. EPIC	33.29
LKMB002-2-066-S173	Um	Moist	3. EPIC + C. acnes ATCC 6919	45.36
LKMB002-2-035-S126	Tw	Moist	2. SBCC	80.88
LKMB002-2-035-S126	Tw	Moist	4. SBCC + C. acnes ATCC 6919	80.97
LKMB002-2-035-S126	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	83.94
LKMB002-2-035-S126	Tw	Moist	6. EPIC + SMGC	86.75
LKMB002-2-035-S126	Tw	Moist	1. EPIC	71.81
LKMB002-2-035-S126	Tw	Moist	3. EPIC + C. acnes ATCC 6919	71.90
LKMB002-1-86-S85	Ba	Sebaceous	2. SBCC	13.51
LKMB002-1-86-S85	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	37.97
LKMB002-1-86-S85	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	43.95
