Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK714	p3-SID784	NA	KHID78	Healthy Skin	Volar forearm
LK715	p3-SID788	NA	KHID74	Healthy Skin	Alar crease
LK720	p3-SID586	NA	KHID55	Healthy Skin	Antecubital fossa
LK730	p3-SID1022	NA	KHID116	Healthy Skin	Volar forearm
LK731	p3-SID1024	NA	KHID115	Healthy Skin	Back
LK732	p3-SID1028	NA	KHID115	Healthy Skin	Back
LK733	p3-SID1100	NA	KHID113	Healthy Skin	Nares
LK734	p3-SID1101	NA	KHID113	Healthy Skin	Nares
LK735	p3-SID1102	NA	KHID113	Healthy Skin	Nares
LK736	p3-SID1103	NA	KHID113	Healthy Skin	Nares
LK737	p3-SID1104	NA	KHID113	Healthy Skin	Nares
LK738	p3-SID1107	NA	KHID113	Healthy Skin	Nares
LK739	p3-SID1108	NA	KHID113	Healthy Skin	Nares
LK740	p3-SID998	NA	KHID116	Healthy Skin	Volar forearm
LK741	p3-SID1017	NA	KHID116	Healthy Skin	Volar forearm
LK742	p3-SID1020	NA	KHID116	Healthy Skin	Volar forearm
LK743	p3-SID1001	NA	KHID116	Healthy Skin	Volar forearm
LK744	p3-SID1004	NA	KHID116	Healthy Skin	Volar forearm
LK745	p3-SID1167	NA	KHID86	Healthy Skin	Antecubital fossa
LK746	p3-SID1011	NA	KHID115	Healthy Skin	Back
LK747	p3-SID1050	NA	KHID119	Healthy Skin	Toe web space
LK748	p3-SID1052	NA	KHID119	Healthy Skin	Toe web space
LK749	p3-SID1053	NA	KHID119	Healthy Skin	Toe web space
LK750	p3-SID1054	NA	KHID119	Healthy Skin	Toe web space
LK751	p3-SID1049	NA	KHID119	Healthy Skin	Toe web space
LK752	p3-SID1030	NA	KHID118	Healthy Skin	Umbilicus
LK753	p3-SID1031	NA	KHID118	Healthy Skin	Umbilicus
LK754	p3-SID1032	NA	KHID118	Healthy Skin	Umbilicus
LK755	p3-SID1046	NA	KHID118	Healthy Skin	Umbilicus
LK756	p3-SID1034	NA	KHID118	Healthy Skin	Umbilicus
LK757	p3-SID1035	NA	KHID118	Healthy Skin	Umbilicus
LK758	p3-SID1044	NA	KHID118	Healthy Skin	Umbilicus
LK759	p3-SID1045	NA	KHID118	Healthy Skin	Umbilicus
LK760	p3-SID1039	NA	KHID118	Healthy Skin	Umbilicus
LK761	p3-SID1058	NA	KHID119	Healthy Skin	Toe web space
LK762	p3-SID1061	NA	KHID119	Healthy Skin	Toe web space
LK763	p3-SID1040	NA	KHID118	Healthy Skin	Umbilicus
LK764	p3-SID1159	NA	KHID84	Healthy Skin	Back
LK765	p3-SID1187	NA	KHID91	Healthy Skin	Occiput
LK766	p3-SID1066	NA	KHID119	Healthy Skin	Toe web space
LK767	p3-SID1195	NA	KHID92	Healthy Skin	Back
LK768	p3-SID1188	NA	KHID91	Healthy Skin	Occiput
LK769	p3-SID1192	NA	KHID117	Healthy Skin	Antecubital fossa
LK770	p3-SID961	NA	KHID89	Healthy Skin	Alar crease
LK771	p3-SID1189	NA	KHID91	Healthy Skin	Occiput
LK772	p3-SID1064	NA	KHID119	Healthy Skin	Toe web space
LK773	p3-SID1097	NA	KHID113	Healthy Skin	Nares
LK774	p3-SID1096	NA	KHID113	Healthy Skin	Nares
LK775	p3-SID1095	NA	KHID113	Healthy Skin	Nares
LK776	p3-SID1094	NA	KHID113	Healthy Skin	Nares
LK777	p3-SID1092	NA	KHID83	Healthy Skin	Occiput
LK778	p3-SID1091	NA	KHID83	Healthy Skin	Occiput
LK779	p3-SID1090	NA	KHID83	Healthy Skin	Occiput
LK780	p3-SID1088	NA	KHID83	Healthy Skin	Occiput
LK781	p3-SID1118	NA	KHID107	Healthy Skin	Back
LK782	p3-SID1075	NA	KHID84	Healthy Skin	Back
LK783	p3-SID1072	NA	KHID84	Healthy Skin	Back
LK784	p3-SID1070	NA	KHID84	Healthy Skin	Back
LK785	p3-SID1069	NA	KHID84	Healthy Skin	Back
LK786	p3-SID1110	NA	KHID107	Healthy Skin	Back
LK787	p3-SID1111	NA	KHID107	Healthy Skin	Back
LK788	p3-SID1112	NA	KHID107	Healthy Skin	Back
LK789	p3-SID1113	NA	KHID107	Healthy Skin	Back
LK790	p3-SID1114	NA	KHID107	Healthy Skin	Back
LK791	p3-SID1186	NA	KHID91	Healthy Skin	Occiput
LK793	p3-SID1084	NA	KHID83	Healthy Skin	Occiput
LK794	p3-SID1083	NA	KHID83	Healthy Skin	Occiput
LK795	p3-SID1082	NA	KHID83	Healthy Skin	Occiput
LK796	p3-SID1081	NA	KHID83	Healthy Skin	Occiput
LK797	p3-SID1080	NA	KHID83	Healthy Skin	Occiput
LK798	p3-SID1173	NA	KHID86	Healthy Skin	Antecubital fossa
