dataset	genus	rel_abun	prevalence
Kraken	Brochothrix	0.001504689	9
Kraken	Brucella	0.018721716508384292	67
Kraken	Buchnera	0.004417531	11
Kraken	Bulleidia	3.051018423488647e-4	0
Kraken	Burkholderia	0.017753829888192626	101
Kraken	Buttiauxella	4.847639109295808e-4	3
Kraken	Butyricimonas	0.000193132	1
Kraken	Butyrivibrio	2.594023357590419e-4	0
Kraken	Bythopirellula	5.4998234307012e-5	0
Kraken	Caballeronia	6.064519553135203e-4	2
Kraken	Caenibius	0.001010639	4
Kraken	Caldalkalibacillus	1.5995139278015703e-4	0
Kraken	Caldanaerobacter	5.525084025768427e-5	0
Kraken	Caldicellulosiruptor	2.4850022368410793e-4	1
Kraken	Caldichromatium	1.4674193468743236e-4	0
Kraken	Caldilinea	1.5588961769289923e-4	0
Kraken	Caldimicrobium	1.6310551936797127e-5	0
Kraken	Caldisericum	1.2638465098390299e-5	0
Kraken	Calditerrivibrio	3.447396480748464e-5	0
Kraken	Caldithrix	1.1878740521808883e-4	0
Kraken	Caloramator	1.6934458920297567e-4	1
Kraken	Caloranaerobacter	1.7119605102871425e-4	0
Kraken	Calothrix	0.00251868	11
Kraken	Calycomorphotria	5.882133833233899e-5	0
Kraken	Caminibacter	4.3638997691433725e-5	0
Kraken	Campylobacter	0.044152872	93
Kraken	Capnocytophaga	0.042901389	122
Kraken	Caproicibacter	8.221399091343364e-5	0
Kraken	Caproicibacterium	1.4425746091804674e-4	1
Kraken	Caproiciproducens	1.83068969068546e-4	1
Kraken	Carboxydocella	1.2860988003153412e-4	1
Kraken	Carboxydothermus	5.504647904734599e-5	0
Kraken	Cardiobacterium	0.012544697961843635	66
Kraken	Carnobacterium	0.00123132	6
Kraken	Casimicrobium	5.253038990653932e-4	1
Kraken	Castellaniella	9.169633322498839e-4	2
Kraken	Catellatospora	0.001844569	8
Kraken	Catenovulum	1.5479126373390195e-4	1
Kraken	Catenulispora	0.0015068	5
Kraken	Caulifigura	5.017752461630923e-4	2
Kraken	Caulobacter	0.00224973	13
Kraken	Cedecea	0.001195965	3
Kraken	Celeribacter	0.002460214	16
Kraken	Celerinatantimonas	6.299851614120991e-5	0
Kraken	Cellulomonas	0.010417163	74
Kraken	Cellulophaga	3.649110949213937e-4	0
Kraken	Cellulosilyticum	3.498311554088877e-4	1
Kraken	Cellulosimicrobium	0.009334596	48
Kraken	Cellvibrio	0.001319439	5
Kraken	Cereibacter	0.005990967	46
Kraken	Chamaesiphon	1.0424362362412234e-4	0
Kraken	Changpingibacter	7.568809596516026e-4	1
Kraken	Chania	1.3197227026871832e-4	1
Kraken	Chelatococcus	0.001792977	10
Kraken	Chitinibacter	1.257294985067465e-4	1
Kraken	Chitinimonas	4.0142871209465885e-4	1
Kraken	Chitinolyticbacter	3.530106466282252e-4	0
Kraken	Chitinophaga	0.004605607	20
Kraken	Chlamydia	9.550664186847335e-5	0
Kraken	Chlamydiifrater	0	0
Kraken	Chloracidobacterium	3.962411432961173e-4	0
Kraken	Chlorobaculum	4.3342710234100113e-4	2
Kraken	Chlorobium	2.2584846467403296e-4	0
Kraken	Chloroflexus	1.4925504577433202e-4	0
Kraken	Chloroherpeton	3.773101849605424e-5	0
Kraken	Chondrocystis	1.1692311058493119e-4	0
Kraken	Chondromyces	0.001013704	2
Kraken	Christensenella	1.9943850263862923e-4	0
Kraken	Chromobacterium	0.003382127	23
Kraken	Chroococcidiopsis	0.001092818	6
Kraken	Chryseobacterium	0.10691922700023619	135
Kraken	Chryseoglobus	8.870794960420977e-4	2
Kraken	Chryseolinea	3.3938544110978134e-4	0
Kraken	Chthonomonas	5.8417429428006047e-05	0
Kraken	Ciceribacter	3.909034843795478e-4	0
Kraken	Citricoccus	0.004817438	24
Kraken	Citrifermentans	2.716760485417769e-4	0
Kraken	Citrobacter	0.012898552773356026	53
Kraken	Citromicrobium	7.246321292769313e-4	1
Kraken	Clavibacter	0.003246393	21
Kraken	Cloacibacillus	9.2813425556787e-5	0
Kraken	Cloacibacterium	5.815343114114218e-4	1
Kraken	Clostridioides	0.00268745	14
Kraken	Clostridium	0.018465439	108
Kraken	Cnuibacter	0.001977584	10
Kraken	Cobetia	6.507828008219765e-4	1
Kraken	Cognaticolwellia	6.801358659383786e-5	0
Kraken	Cognatishimia	8.021895308966125e-5	0
Kraken	Cohaesibacter	1.1105399049499545e-4	0
Kraken	Cohnella	8.031125163429166e-4	3
Kraken	Collimonas	0.00227667	18
Kraken	Collinsella	0.003267045	17
Kraken	Colwellia	0.001000328	4
Kraken	Comamonas	0.048830513081707244	113
