Strain_ID,Body_Site,Site_Type,Genus,Phylum,Family,Species
LK1137,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1138,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1167,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1219,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1253,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1254,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1255,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,capitis
LK1264,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK1265,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1341,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK1342,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK1373,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK401,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK403,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK407,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK413,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,warneri
LK414,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,warneri
LK415,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,warneri
LK417,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,hominis
LK428,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,hominis
LK435,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK436,Occiput,Sebaceous,staphylococcus,Bacillota,Staphylococcaceae,
LK445,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK449,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK452,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK456,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK457,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK459,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK460,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK470,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK473,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK480,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK486,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK489,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,saprophyticus
LK490,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK496,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK497,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK503,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK504,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK507,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK515,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK516,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK523,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK524,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,aureus
LK528,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK529,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK530,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK531,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK533,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK535,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK543,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK544,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK547,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK548,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK549,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK550,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK551,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK555,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK556,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK560,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK571,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK574,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK580,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK588,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK590,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK593,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK594,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK595,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK596,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK600,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK601,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK602,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK605,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,epidermidis
LK606,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK615,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK616,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK620,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK623,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK625,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK626,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK635,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK636,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK637,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK657,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK659,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK665,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK673,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK674,Volar forearm,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK677,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK684,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK685,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK686,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK688,Umbilicus,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK690,Back,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK691,Antecubital fossa,Rarely Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK693,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK834,Nares,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK835,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK837,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK849,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK853,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK857,Toe web space,Moist,Staphylococcus,Bacillota,Staphylococcaceae,
LK861,Occiput,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
LK893,Alar crease,Sebaceous,Staphylococcus,Bacillota,Staphylococcaceae,
