BodySite	Permutation	CumulativeDepth	GCFsDiscovered
Moist_Um	6	5e8-6e8	85
Moist_Um	6	6e8-7e8	85
Moist_Um	6	6e8-7e8	85
Moist_Um	6	6e8-7e8	90
Moist_Um	6	6e8-7e8	90
Moist_Um	6	6e8-7e8	90
Moist_Um	6	7e8-8e8	94
Moist_Um	6	7e8-8e8	94
Moist_Um	6	7e8-8e8	95
Moist_Um	6	7e8-8e8	97
Moist_Um	6	7e8-8e8	97
Moist_Um	6	8e8-9e8	98
Moist_Um	6	8e8-9e8	98
Moist_Um	6	8e8-9e8	98
Moist_Um	7	0-1e8	17
Moist_Um	7	0-1e8	25
Moist_Um	7	0-1e8	27
Moist_Um	7	1e8-2e8	40
Moist_Um	7	1e8-2e8	45
Moist_Um	7	1e8-2e8	52
Moist_Um	7	1e8-2e8	54
Moist_Um	7	2e8-3e8	54
Moist_Um	7	2e8-3e8	54
Moist_Um	7	2e8-3e8	54
Moist_Um	7	2e8-3e8	62
Moist_Um	7	3e8-4e8	64
Moist_Um	7	3e8-4e8	65
Moist_Um	7	3e8-4e8	68
Moist_Um	7	3e8-4e8	68
Moist_Um	7	4e8-5e8	69
Moist_Um	7	4e8-5e8	69
Moist_Um	7	4e8-5e8	69
Moist_Um	7	5e8-6e8	69
Moist_Um	7	5e8-6e8	75
Moist_Um	7	5e8-6e8	76
Moist_Um	7	6e8-7e8	76
Moist_Um	7	6e8-7e8	76
Moist_Um	7	6e8-7e8	76
Moist_Um	7	6e8-7e8	81
Moist_Um	7	7e8-8e8	81
Moist_Um	7	7e8-8e8	83
Moist_Um	7	7e8-8e8	86
Moist_Um	7	7e8-8e8	91
Moist_Um	7	8e8-9e8	96
Moist_Um	7	8e8-9e8	96
Moist_Um	7	8e8-9e8	98
Moist_Um	7	8e8-9e8	98
Moist_Um	8	0-1e8	17
Moist_Um	8	0-1e8	21
Moist_Um	8	0-1e8	35
Moist_Um	8	1e8-2e8	47
Moist_Um	8	1e8-2e8	49
Moist_Um	8	1e8-2e8	59
Moist_Um	8	1e8-2e8	64
Moist_Um	8	2e8-3e8	64
Moist_Um	8	2e8-3e8	71
Moist_Um	8	2e8-3e8	71
Moist_Um	8	2e8-3e8	71
Moist_Um	8	2e8-3e8	71
Moist_Um	8	3e8-4e8	77
Moist_Um	8	3e8-4e8	77
Moist_Um	8	3e8-4e8	77
Moist_Um	8	3e8-4e8	79
Moist_Um	8	4e8-5e8	80
Moist_Um	8	4e8-5e8	81
Moist_Um	8	5e8-6e8	82
Moist_Um	8	5e8-6e8	82
Moist_Um	8	5e8-6e8	84
Moist_Um	8	5e8-6e8	87
Moist_Um	8	6e8-7e8	87
Moist_Um	8	6e8-7e8	91
Moist_Um	8	6e8-7e8	91
Moist_Um	8	7e8-8e8	91
Moist_Um	8	7e8-8e8	91
Moist_Um	8	7e8-8e8	96
Moist_Um	8	7e8-8e8	96
Moist_Um	8	7e8-8e8	96
Moist_Um	8	7e8-8e8	96
Moist_Um	8	8e8-9e8	98
Moist_Um	8	8e8-9e8	98
Moist_Um	9	0-1e8	20
Moist_Um	9	0-1e8	26
Moist_Um	9	0-1e8	27
Moist_Um	9	0-1e8	34
Moist_Um	9	1e8-2e8	36
Moist_Um	9	1e8-2e8	38
Moist_Um	9	1e8-2e8	42
Moist_Um	9	2e8-3e8	46
Moist_Um	9	2e8-3e8	47
Moist_Um	9	2e8-3e8	49
Moist_Um	9	2e8-3e8	53
Moist_Um	9	2e8-3e8	53
Moist_Um	9	3e8-4e8	54
Moist_Um	9	3e8-4e8	55
Moist_Um	9	3e8-4e8	62
Moist_Um	9	3e8-4e8	64
Moist_Um	9	4e8-5e8	66
Moist_Um	9	4e8-5e8	74
Moist_Um	9	4e8-5e8	78
Moist_Um	9	5e8-6e8	78
Moist_Um	9	5e8-6e8	78
Moist_Um	9	6e8-7e8	80
Moist_Um	9	6e8-7e8	80
Moist_Um	9	6e8-7e8	82
Moist_Um	9	6e8-7e8	83
Moist_Um	9	6e8-7e8	83
Moist_Um	9	7e8-8e8	83
Moist_Um	9	7e8-8e8	83
Moist_Um	9	7e8-8e8	83
Moist_Um	9	7e8-8e8	88
Moist_Um	9	8e8-9e8	93
Moist_Um	9	8e8-9e8	93
Moist_Um	9	8e8-9e8	98
Moist_Um	10	0-1e8	10
Moist_Um	10	0-1e8	17
Moist_Um	10	0-1e8	25
Moist_Um	10	0-1e8	41
Moist_Um	10	1e8-2e8	43
Moist_Um	10	1e8-2e8	47
Moist_Um	10	1e8-2e8	49
Moist_Um	10	1e8-2e8	49
Moist_Um	10	2e8-3e8	50
Moist_Um	10	2e8-3e8	54
Moist_Um	10	2e8-3e8	65
Moist_Um	10	3e8-4e8	66
Moist_Um	10	3e8-4e8	66
Moist_Um	10	3e8-4e8	66
Moist_Um	10	4e8-5e8	73
Moist_Um	10	4e8-5e8	73
Moist_Um	10	4e8-5e8	73
Moist_Um	10	4e8-5e8	78
Moist_Um	10	5e8-6e8	81
Moist_Um	10	5e8-6e8	81
Moist_Um	10	5e8-6e8	82
Moist_Um	10	5e8-6e8	82
Moist_Um	10	6e8-7e8	83
Moist_Um	10	6e8-7e8	83
Moist_Um	10	6e8-7e8	83
Moist_Um	10	6e8-7e8	88
Moist_Um	10	7e8-8e8	90
Moist_Um	10	7e8-8e8	90
Moist_Um	10	7e8-8e8	91
Moist_Um	10	7e8-8e8	93
Moist_Um	10	7e8-8e8	93
Moist_Um	10	8e8-9e8	93
Moist_Um	10	8e8-9e8	98
Moist_Um	11	0-1e8	7
Moist_Um	11	0-1e8	26
Moist_Um	11	0-1e8	31
Moist_Um	11	0-1e8	35
Moist_Um	11	0-1e8	44
Moist_Um	11	1e8-2e8	49
Moist_Um	11	1e8-2e8	53
Moist_Um	11	1e8-2e8	53
Moist_Um	11	2e8-3e8	53
Moist_Um	11	2e8-3e8	53
Moist_Um	11	2e8-3e8	62
Moist_Um	11	2e8-3e8	66
Moist_Um	11	3e8-4e8	66
Moist_Um	11	3e8-4e8	72
Moist_Um	11	3e8-4e8	73
Moist_Um	11	3e8-4e8	74
